Date,Team,Start Unit,End Unit,Leader,Source
20091012,A,,,Adela,ELH09 SurveySummary.xls
20091013,A,,,Adela,ELH09 SurveySummary.xls
20091015,A,,,Adela,ELH09 SurveySummary.xls
20091020,A,,,Adela,ELH09 SurveySummary.xls
20091021,A,,,Adela,ELH09 SurveySummary.xls
20091022,A,,,Adela,ELH09 SurveySummary.xls
20091023,A,,,Adela,ELH09 SurveySummary.xls
20091026,A,,,Adela,ELH09 SurveySummary.xls
20091027,A,,,Adela,ELH09 SurveySummary.xls
20091028,A,,,Adela,ELH09 SurveySummary.xls
20091029,A,,,Adela,ELH09 SurveySummary.xls
20091012,B,,,Shawn,ELH09 SurveySummary.xls
20091013,B,,,Shawn,ELH09 SurveySummary.xls
20091015,B,,,Shawn,ELH09 SurveySummary.xls
20091020,B,,,Shawn,ELH09 SurveySummary.xls
20091021,B,,,Shawn,ELH09 SurveySummary.xls
20091022,B,,,Shawn,ELH09 SurveySummary.xls
20091023,B,,,Shawn,ELH09 SurveySummary.xls
20091026,B,,,Shawn,ELH09 SurveySummary.xls
20091027,B,,,Shawn,ELH09 SurveySummary.xls
20091028,B,,,Shawn,ELH09 SurveySummary.xls
20091029,B,,,Shawn,ELH09 SurveySummary.xls
20091012,C,,,Bara,ELH09 SurveySummary.xls
20091013,C,,,Bara,ELH09 SurveySummary.xls
20091015,C,,,Bara,ELH09 SurveySummary.xls
20091020,C,,,Bara,ELH09 SurveySummary.xls
20091021,C,,,Bara,ELH09 SurveySummary.xls
20091022,C,,,Bara,ELH09 SurveySummary.xls
20091023,C,,,Bara,ELH09 SurveySummary.xls
20091026,C,,,Bara,ELH09 SurveySummary.xls
20091027,C,,,Bara,ELH09 SurveySummary.xls
20091028,C,,,Bara,ELH09 SurveySummary.xls
20091029,C,,,Bara,ELH09 SurveySummary.xls
20091102,A,,,Adela,ELH09 SurveySummary.xls
20091103,A,,,Adela,ELH09 SurveySummary.xls
20091105,A,,,Adela,ELH09 SurveySummary.xls
20091106,A,,,Adela,ELH09 SurveySummary.xls
20091107,A,,,Adela,ELH09 SurveySummary.xls
20091109,A,,,Adela,ELH09 SurveySummary.xls
20091110,A,,,Adela,ELH09 SurveySummary.xls
20091114,A,,,Adela,ELH09 SurveySummary.xls
20091107,B,,,Shawn,ELH09 SurveySummary.xls
20091109,B,,,Shawn,ELH09 SurveySummary.xls
20091110,B,,,Shawn,ELH09 SurveySummary.xls
20091112,B,,,Shawn,ELH09 SurveySummary.xls
20091113,B,,,Shawn,ELH09 SurveySummary.xls
20091109,C,,,Scott,ELH09 SurveySummary.xls
20091110,C,,,Scott,ELH09 SurveySummary.xls
20091112,C,,,Scott,ELH09 SurveySummary.xls
20091113,C,,,Scott,ELH09 SurveySummary.xls
20091114,C,,,Scott,ELH09 SurveySummary.xls
20091102,B,,,Shawn,ELH09 SurveySummary.xls
20091103,B,,,Shawn,ELH09 SurveySummary.xls
20091105,B,,,Shawn,ELH09 SurveySummary.xls
20091106,B,,,Shawn,ELH09 SurveySummary.xls
2010-10-22,Team A,,,Adela D,Yam10_SurveySummary.xls
2010-10-23,Team A,,,Adela D,Yam10_SurveySummary.xls
2010-10-24,Team A,,,Adela D,Yam10_SurveySummary.xls
2010-11-02,Team B,,,Dr. Ross,Yam10_SurveySummary.xls
2010-11-02,Team A,,,Petra T,Yam10_SurveySummary.xls
2010-11-03,Team B,,,Shawn,Yam10_SurveySummary.xls
2010-11-03,Team A,,,Petra T,Yam10_SurveySummary.xls
2010-11-04,Team B,,,Shawn,Yam10_SurveySummary.xls
2010-11-05,Team B,,,Shawn,Yam10_SurveySummary.xls
2010-11-11,Team B,,,Royce,Yam10_SurveySummary.xls
2010-11-12,Team B,,,Royce,Yam10_SurveySummary.xls
2010-11-14,Team B,,,Royce,Yam10_SurveySummary.xls
2010-11-15,Team B,,,Petra T,Yam10_SurveySummary.xls
2011-11-16,Team B,,,Petra T,Yam10_SurveySummary.xls
20111016.0,A,,,JTs,Kaz11_SurveySummary.xlsx
20111019.0,A,,,JD,Kaz11_SurveySummary.xlsx
20111020.0,A,,,JD,Kaz11_SurveySummary.xlsx
20111021.0,A,,,JD,Kaz11_SurveySummary.xlsx
20111022.0,A,,,JTs,Kaz11_SurveySummary.xlsx
20111023.0,A,,,JTs,Kaz11_SurveySummary.xlsx
20111024.0,A,,,GN,Kaz11_SurveySummary.xlsx
20111025.0,A,,,JTs,Kaz11_SurveySummary.xlsx
20111026.0,A,,,JD,Kaz11_SurveySummary.xlsx
20111028.0,A,,,JD,Kaz11_SurveySummary.xlsx
20111029.0,A,,,JTs,Kaz11_SurveySummary.xlsx
20111030.0,A,,,GM,Kaz11_SurveySummary.xlsx
20111031.0,A,,,GM,Kaz11_SurveySummary.xlsx
20111101.0,A,,,GM,Kaz11_SurveySummary.xlsx
20111102.0,A,,,GM,Kaz11_SurveySummary.xlsx
20111103.0,A,,,GM,Kaz11_SurveySummary.xlsx
20111027.0,A,,,JD,Kaz11_SurveySummary.xlsx
20111103.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111105.0,B,,,Petra,Kaz11_SurveySummary.xlsx
